what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389544506650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389544508570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389544741456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389544751858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389544976965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389544998141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389545004645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545027627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545035133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389545041957
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545082176
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545094387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545095701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545177069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545185506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545194204
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389545203455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389545205729
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389545210502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545212396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545220415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389545220476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389545220477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545221564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545221700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545225004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545261120
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389545265878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389545277133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545278984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545412879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545415494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389545427923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582422576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582499107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582506939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582622167
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389582689478
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389582691446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582693738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582700938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389582700985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389582700985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582702462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582761902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582769089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582777114
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389582777149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389582839423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584589943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389584635765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389584643134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389584649011
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389584654040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584655672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584663971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389584664019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389584664019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584664701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584853020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1389584854883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584860045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584860219
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389584861873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389584865735
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1389584867210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584869172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584876893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389584876937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1389584876937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584878827
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584881735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584882960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584942287
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389584943216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584951787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389584951973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389585050356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389585052159
